level_daily,date,level_min,level_mean,level_max
3.35,2023-09-01,,,
3.44,2023-09-02,,,
3.4,2023-09-03,,,
3.35,2023-09-04,,,
3.3,2023-09-05,,,
3.24,2023-09-06,,,
3.2,2023-09-07,,,
3.15,2023-09-08,,,
3.08,2023-09-09,,,
3.0,2023-09-10,,,
3.0,2023-09-11,,,
2.95,2023-09-12,,,
2.9,2023-09-13,,,
2.84,2023-09-14,,,
2.8,2023-09-15,,,
2.75,2023-09-16,,,
2.38,2023-09-17,,,
2.64,2023-09-18,,,
2.6,2023-09-19,,,
2.55,2023-09-20,,,
2.5,2023-09-21,,,
2.46,2023-09-22,,,
2.75,2023-09-23,,,
3.0,2023-09-24,,,
3.27,2023-09-25,,,
3.5,2023-09-26,,,
3.65,2023-09-27,,,
3.85,2023-09-28,,,
4.12,2023-09-29,,,
4.84,2023-09-30,,,
4.9,2023-10-01,,,
5.0,2023-10-02,,,
5.1,2023-10-03,,,
5.18,2023-10-04,,,
5.3,2023-10-05,,,
5.44,2023-10-06,,,
5.65,2023-10-07,,,
5.78,2023-10-08,,,
5.88,2023-10-09,,,
5.94,2023-10-10,,,
6.0,2023-10-11,,,
6.0,2023-10-12,,,
5.72,2023-10-13,,,
5.45,2023-10-14,,,
5.22,2023-10-15,,,
5.0,2023-10-16,,,
4.85,2023-10-17,,,
4.75,2023-10-18,,,
4.95,2023-10-19,,,
5.15,2023-10-20,,,
6.44,2023-10-21,,,
6.1,2023-10-22,,,
6.1,2023-10-23,,,
6.18,2023-10-24,,,
6.22,2023-10-25,,,
6.22,2023-10-26,,,
6.28,2023-10-27,,,
6.35,2023-10-28,,,
6.4,2023-10-29,,,
6.44,2023-10-30,,,
6.44,2023-10-31,,,
6.5,2023-11-01,,,
6.58,2023-11-02,,,
6.68,2023-11-03,,,
6.82,2023-11-04,,,
6.94,2023-11-05,,,
7.18,2023-11-06,,,
7.4,2023-11-07,,,
7.52,2023-11-08,,,
7.6,2023-11-09,,,
7.68,2023-11-10,,,
7.9,2023-11-11,,,
8.3,2023-11-12,,,
8.3,2023-11-13,,,
9.0,2023-11-14,,,
8.3,2023-11-15,,,
8.3,2023-11-16,,,
8.3,2023-11-17,,,
8.3,2023-11-18,,,
8.3,2023-11-19,,,
8.3,2023-11-20,,,
8.3,2023-11-21,,,
8.3,2023-11-22,,,
8.3,2023-11-23,,,
8.3,2023-11-24,,,
8.3,2023-11-25,,,
8.3,2023-11-26,,,
8.3,2023-11-27,,,
8.3,2023-11-28,,,
8.3,2023-11-29,,,
8.3,2023-11-30,,,
8.3,2023-12-01,,,
8.3,2023-12-02,,,
8.3,2023-12-03,,,
8.3,2023-12-04,,,
8.3,2023-12-05,,,
8.3,2023-12-06,,,
8.3,2023-12-07,,,
8.3,2023-12-08,,,
8.3,2023-12-09,,,
8.3,2023-12-10,,,
8.0,2023-12-11,,,
7.65,2023-12-12,,,
6.3,2023-12-13,,,
5.2,2023-12-14,,,
4.95,2023-12-15,,,
