level_daily,date,level_min,level_mean,level_max
,1963-01-01,1.83,2.63944435119629,3.83
,1963-01-02,1.78,2.64166665077209,3.75
,1963-01-03,1.73,2.62444448471069,3.6
,1963-01-04,1.68,2.62055563926697,3.5
,1963-01-05,1.63,2.58833336830139,3.56
,1963-01-06,1.58,2.57500004768372,3.58
,1963-01-07,1.55,2.55888891220093,3.55
,1963-01-08,1.5,2.53944444656372,3.46
,1963-01-09,1.48,2.52344441413879,3.37
,1963-01-10,1.45,2.52288889884949,3.8
,1963-01-11,1.42,2.50233340263367,3.08
,1963-01-12,1.4,2.48122215270996,3.02
,1963-01-13,1.38,2.4706666469574,2.94
,1963-01-14,1.35,2.453444480896,2.98
,1963-01-15,1.35,2.43955564498901,3.08
,1963-01-16,1.33,2.43955564498901,3.36
,1963-01-17,1.28,2.43400001525879,3.64
,1963-01-18,1.25,2.42400002479553,3.84
,1963-01-19,1.22,2.40955567359924,3.86
,1963-01-20,1.22,2.39344453811645,3.82
,1963-01-21,1.18,2.38011121749878,3.82
,1963-01-22,1.15,2.37011122703552,3.88
,1963-01-23,1.15,2.37455558776855,4.18
,1963-01-24,1.15,2.35338878631592,4.01
,1963-01-25,1.15,2.33438897132874,3.84
,1963-01-26,1.15,2.31155562400818,3.67
,1963-01-27,1.12,2.30755543708801,3.49
,1963-01-28,1.1,2.29805564880371,3.32
,1963-01-29,1.1,2.29516673088074,3.15
,1963-01-30,1.1,2.28511118888855,2.98
,1963-01-31,1.08,2.29622220993042,2.96
,1963-02-01,1.03,2.28566670417786,2.92
,1963-02-02,1.03,2.28177785873413,2.9
,1963-02-03,1.0,2.26122212409973,2.88
,1963-02-04,1.0,2.26233339309692,3.5
,1963-02-05,1.0,2.2590000629425,3.68
,1963-02-06,1.0,2.26622223854065,3.76
,1963-02-07,1.0,2.26566672325134,3.77
,1963-02-08,1.0,2.25788879394531,3.72
,1963-02-09,0.98,2.24622225761414,3.64
,1963-02-10,0.98,2.23066663742065,3.55
,1963-02-11,0.95,2.22011113166809,3.39
,1963-02-12,0.93,2.21455550193787,3.31
,1963-02-13,0.93,2.21066665649414,3.1
,1963-02-14,0.93,2.2056667804718,3.04
,1963-02-15,0.93,2.19066667556763,2.98
,1963-02-16,0.9,2.17511105537415,2.91
,1963-02-17,0.88,2.16899991035461,2.88
,1963-02-18,0.85,2.16288900375366,2.88
,1963-02-19,0.8,2.17011117935181,3.09
,1963-02-20,0.8,2.18011116981506,2.98
,1963-02-21,0.8,2.18233323097229,3.12
,1963-02-22,0.78,2.17511105537415,3.25
,1963-02-23,0.75,2.17455554008484,3.4
,1963-02-24,0.75,2.15733337402344,3.35
,1963-02-25,0.75,2.1489999294281,3.3
,1963-02-26,0.73,2.14566659927368,3.22
,1963-02-27,0.73,2.14344453811645,3.22
,1963-02-28,0.73,2.13288879394531,3.21
,1963-03-01,0.7,2.11177778244019,3.25
,1963-03-02,0.7,2.10455560684204,3.28
,1963-03-03,0.7,2.1151111125946,3.31
,1963-03-04,0.66,2.12955546379089,3.65
,1963-03-05,0.66,2.14788889884949,3.74
,1963-03-06,0.63,2.15899991989136,3.78
,1963-03-07,0.63,2.17622232437134,3.88
,1963-03-08,0.63,2.17733335494995,3.84
,1963-03-09,0.63,2.18344449996948,3.98
,1963-03-10,0.6,2.26622223854065,4.18
,1963-03-11,0.6,2.28566670417786,4.35
,1963-03-12,0.6,2.29011106491089,4.5
,1963-03-13,0.58,2.29233336448669,4.68
,1963-03-14,0.55,2.30177783966064,4.88
,1963-03-15,0.55,2.30288887023926,5.0
,1963-03-16,0.55,2.31900000572205,5.28
,1963-03-17,0.55,2.3289999961853,5.46
,1963-03-18,0.52,2.33899998664856,5.6
,1963-03-19,0.52,2.3834445476532,5.72
,1963-03-20,0.52,2.39677786827087,5.77
,1963-03-21,0.5,2.38788890838623,5.72
,1963-03-22,0.5,2.37233328819275,5.6
,1963-03-23,0.5,2.34122228622437,5.28
,1963-03-24,0.5,2.31066656112671,5.08
,1963-03-25,0.5,2.31511116027832,5.0
,1963-03-26,0.45,2.36955547332764,5.0
,1963-03-27,0.45,2.42400002479553,5.05
,1963-03-28,0.45,2.43177771568298,5.08
,1963-03-29,0.45,2.46511101722717,5.0
,1963-03-30,0.45,2.4878888130188,5.19
,1963-03-31,0.45,2.50011110305786,5.51
,1963-04-01,0.45,2.48844432830811,5.64
,1963-04-02,0.4,2.52622222900391,5.71
,1963-04-03,0.4,2.64566659927368,5.74
,1963-04-04,0.4,2.69177770614624,5.81
,1963-04-05,0.4,2.703444480896,5.9
,1963-04-06,0.35,2.76233339309692,6.0
,1963-04-07,0.35,2.82566666603088,6.08
,1963-04-08,0.35,2.85955548286438,6.17
,1963-04-09,0.35,2.86277770996094,6.27
,1963-04-10,0.7,2.97555565834045,6.37
,1963-04-11,0.8,3.03277778625488,6.6
,1963-04-12,0.75,3.10555553436279,6.75
,1963-04-13,0.8,3.12222218513489,6.98
,1963-04-14,0.8,3.15833330154419,6.99
,1963-04-15,1.2,3.33611106872559,7.01
,1963-04-16,1.1,3.55011105537415,7.11
,1963-04-17,1.1,3.57011103630066,7.25
,1963-04-18,1.1,3.64733338356018,7.4
,1963-04-19,1.1,3.6845555305481,7.47
,1963-04-20,1.0,3.73288893699646,7.47
,1963-04-21,1.0,3.80511116981506,7.49
,1963-04-22,1.0,3.91122221946716,7.75
3.358,1963-04-23,1.0,3.91444444656372,7.9
3.64,1963-04-24,1.0,3.95722222328186,7.95
3.887,1963-04-25,1.1,4.07831573486328,8.12
4.19,1963-04-26,1.1,4.18621063232422,8.3
4.552,1963-04-27,1.1,4.4041051864624,8.3
4.766,1963-04-28,1.2,4.65042114257813,8.3
4.897,1963-04-29,1.2,4.80377769470215,8.3
5.029,1963-04-30,2.0,4.90377759933472,8.3
5.215,1963-05-01,2.3,4.95322227478027,8.3
5.403,1963-05-02,2.22,4.94988870620728,8.3
5.542,1963-05-03,2.21,4.97933340072632,8.34
5.672,1963-05-04,2.19,5.06322240829468,8.3
5.774,1963-05-05,2.17,5.18266677856445,8.3
5.862,1963-05-06,2.15,5.15673685073853,8.3
5.976,1963-05-07,2.13,5.23778963088989,8.3
6.21,1963-05-08,2.11,5.34673690795898,8.3
6.343,1963-05-09,2.09,5.44936847686768,8.3
6.476,1963-05-10,2.09,5.52989482879639,8.3
6.588,1963-05-11,2.08,5.55884218215942,8.3
6.66,1963-05-12,2.08,5.59042119979858,8.3
6.719,1963-05-13,2.06,5.60726308822632,8.3
6.75,1963-05-14,2.05,5.63621044158936,8.3
6.775,1963-05-15,2.04,5.5688419342041,8.3
6.778,1963-05-16,2.04,5.47200012207031,8.3
6.778,1963-05-17,2.04,5.3730525970459,8.3
6.779,1963-05-18,2.07,5.33831596374512,8.3
